4924 Obersteckholz	47.1993	7.8171
4932 Lotzwil	47.1913	7.791
4932 Gutenburg	47.1838	7.7948
4933 Rütschelen	47.1711	7.7709
4934 Madiswil	47.1646	7.7986
4935 Leimiswil	47.1508	7.7634
4936 Kleindietwil	47.1457	7.7896
4937 Ursenbach	47.137	7.7719
4938 Rohrbach	47.1352	7.8133
4938 Rohrbachgraben	47.1193	7.8004
4942 Walterswil BE	47.1122	7.778
4943 Oeschenbach	47.1029	7.7476
4944 Auswil	47.1436	7.8454
4950 Huttwil	47.115	7.8621
4952 Eriswil	47.0782	7.8515
4953 Schwarzenbach (Huttwil)	47.108000000000004	7.8303
4954 Wyssachen	47.0785	7.8292
4955 Gondiswil	47.1468	7.8714
3309 Kernenried	47.0697	7.5468
3315 Bätterkinden	47.1336	7.541
3315 Kräiligen	47.1504	7.5343
3324 Hindelbank	47.0427	7.5414
3324 Mötschwil	47.0411	7.5756
3325 Hettiswil b. Hindelbank	47.027	7.5382
3326 Krauchthal	47.0096	7.5664
3400 Burgdorf	47.059	7.6279
3412 Heimiswil	47.0675	7.6667
3413 Kaltacker	47.0778	7.6701
3414 Oberburg	47.0366	7.6275
3415 Schafhausen im Emmental	47.0174	7.6577
3415 Hasle b. Burgdorf	47.0144	7.6511
3415 Rüegsauschachen	47.0205	7.6644
3416 Affoltern im Emmental	47.0653	7.7347
3417 Rüegsau	47.0381	7.691
3418 Rüegsbach	47.0354	7.6903
3419 Biembach im Emmental	47.0006	7.6224
3421 Lyssach	47.0645	7.5823
3421 Rüti b. Lyssach	47.0544	7.5824
3421 Lyssach	47.023	7.6065
3422 Rüdtligen	47.0887	7.5707
3422 Kirchberg BE	47.0854	7.5829
3422 Alchenflüh	47.0847	7.5811
3423 Ersigen	47.0937	7.5951
3424 Niederösch	47.0976	7.6042
3424 Oberösch	47.1096	7.608
3425 Willadingen	47.1467	7.6111
3425 Koppigen	47.1338	7.5987
3426 Aefligen	47.0957	7.5517
3427 Utzenstorf	47.1298	7.5584
3428 Wiler b. Utzenstorf	47.1506	7.5566
3429 Höchstetten	47.1438	7.6334
3429 Hellsau	47.1437	7.6483
3432 Lützelflüh-Goldbach	47.0076	7.6917
3433 Schwanden im Emmental	46.988	7.6952
3435 Ramsei	46.9983	7.7118
3436 Zollbrück	46.9745	7.7438
3437 Rüderswil	46.9837	7.7217
3438 Lauperswil	46.9656	7.7421
3439 Ranflüh	46.9876	7.7402
3452 Grünenmatt	47.00899999999999	7.7234
3453 Heimisbach	47.0125	7.7605
3454 Sumiswald	47.0275	7.7453
3455 Grünen	47.0266	7.7432
3456 Trachselwald	47.016999999999996	7.7364
3457 Wasen im Emmental	47.0427	7.7972
3462 Weier im Emmental	47.0624	7.7506
3463 Häusernmoos im Emmental	47.0807	7.7502
3465 Dürrenroth	47.0882	7.7913
3472 Rumendingen	47.1059	7.6394
3472 Wynigen	47.1059	7.6668
3473 Alchenstorf	47.1254	7.6379
3474 Rüedisbach	47.1208	7.7044
3534 Signau	46.9194	7.7242
3535 Schüpbach	46.9261	7.74
3536 Aeschau	46.9095	7.7618
3537 Eggiwil	46.8757	7.7957
3538 Röthenbach im Emmental	46.8542	7.7425
3543 Emmenmatt	46.9487	7.7493
3550 Langnau im Emmental	46.9394	7.7874
3551 Oberfrittenbach	46.9297	7.7963
3552 Bärau	46.9301	7.8114
3553 Gohl	46.9554	7.8062
3555 Trubschachen	46.9223	7.8452
3556 Trub	46.9417	7.88
3557 Fankhaus (Trub)	46.9706	7.9174
3618 Süderen	46.9885	7.7386
4564 Zielebach	47.158	7.5729
6197 Schangnau	46.8278	7.8599
1595 Clavaleyres	46.8991	7.0928
1738 Sangernboden	46.7133	7.3519
1797 Münchenwiler	46.9133	7.1256
3004 Bern	46.9481	7.4474
3005 Bern	46.9481	7.4474
3006 Bern	46.9481	7.4474
3007 Bern	46.9481	7.4474
3008 Bern	46.9481	7.4474
3010 Bern	46.9481	7.4474
3011 Bern	46.9481	7.4474
3011 Bern	46.9481	7.4474
3012 Bern	46.9481	7.4474
3013 Bern	46.9481	7.4474
3014 Bern	46.9481	7.4474
3015 Bern	46.9481	7.4474
3018 Bern	46.9481	7.4474
3019 Bern	46.9481	7.4474
3020 Bern	46.9481	7.4474
3027 Bern	46.9481	7.4474
3032 Hinterkappelen	46.9673	7.3779
3033 Wohlen b. Bern	46.9877	7.3481
3034 Murzelen	46.9831	7.3155
3037 Herrenschwanden	46.9776	7.4175
3038 Kirchlindach	46.9997	7.4173
3042 Ortschwaben	46.9917	7.4018
3043 Uettligen	46.9873	7.3856
3044 Innerberg	46.9975	7.3073
3045 Meikirch	47.0072	7.3664
3046 Wahlendorf	47.0091	7.3388
3047 Bremgarten b. Bern	46.978	7.4385
3048 Worblaufen	46.9797	7.4581
3049 Säriswil	46.9918	7.3342
3052 Zollikofen	46.998999999999995	7.4581
3053 Münchenbuchsee	47.0218	7.4504
3053 Wiggiswil	47.0313	7.4709
3053 Deisswil b. Münchenbuchsee	47.0372	7.4533
3053 Diemerswil	47.0191	7.4245
3063 Ittigen	46.9743	7.4828
3065 Bolligen	46.9751	7.497000000000001
3066 Stettlen	46.9583	7.5251
3067 Boll	46.9542	7.5486
3068 Utzigen	46.9621	7.5657
3072 Ostermundigen	46.9569	7.4902
3073 Gümligen	46.9345	7.5093
3074 Muri b. Bern	46.9312	7.4866
3075 Rüfenacht BE	46.9308	7.5323
3075 Vielbringen b. Worb	46.9308	7.5323
3076 Worb	46.9298	7.5631
3077 Enggistein	46.9335	7.5979
3078 Richigen	46.9173	7.5842
3082 Schlosswil	46.9087	7.6117
3083 Trimstein	46.9048	7.5835
3084 Wabern	46.9299	7.4508
3086 Zimmerwald	46.8809	7.4771
3086 Englisberg	46.8992	7.4693
3087 Niedermuhlern	46.8576	7.4618
3088 Rüeggisberg	46.8222	7.4389
3088 Oberbütschel	46.8389	7.4641
3089 Hinterfultigen	46.8398	7.4009
3095 Spiegel b. Bern	46.9248	7.4361
3096 Oberbalm	46.8736	7.4028
3097 Liebefeld	46.9258	7.4145
3098 Köniz	46.9244	7.4146
3098 Schliern b. Köniz	46.9244	7.4146
3099 Rüti b. Riggisberg	46.7824	7.4602
3110 Münsingen	46.873000000000005	7.561
3111 Tägertschi	46.8841	7.5657
3112 Allmendingen b. Bern	46.9147	7.5244
3113 Rubigen	46.8987	7.5446
